"mz","Intensity"
653.3641,10.54
667.3391,9.31
670.3829,104
684.3762,10.54
690.36,8.557
693.3264,12
703.4058,6.538
706.3533,4.538
707.3464,8
718.3804,6
722.3094,4
723.4171,6
730.3549,4
734.3727,4.538
741.433,25
755.415,12.04
765.3297,6
783.3845,6
817.4761,10.74
835.3758,4.538
836.4417,10.54
843.4106,4
849.3784,4
851.6936,15.11
854.5071,272
858.4526,4.036
893.4407,4
983.4918,4
999.5553,4
1119.4561,10.58
1132.3872,22.2
1167.6001,8.575
1419.8307,4.736
127.1214,16
155.1174,29
183.1216,31
213.1223,12
228.1667,15.86
238.1504,15
254.1081,15
255.1425,34.84
266.1508,12
272.1736,41
284.1593,47.11
296.1414,12.86
318.1387,15.86
327.1602,21.81
337.2155,28
365.2253,25.11
383.2309,28
383.8848,23.67
385.2526,22
387.2033,19.81
390.237,24.44
418.7556,118
427.2288,22.61
427.5391,60.12
453.2925,12.81
470.2598,15
472.2819,185
487.2195,12.81
499.2896,12
500.2767,9.807
513.2756,9.807
525.3052,9.807
541.3073,9.807
565.3375,13.67
571.3576,83
572.3419,9.807
597.3341,15
672.4045,166
682.394,26.42
700.3804,6
722.3696,6
737.4554,9
741.4013,21.81
742.3355,8.393
755.4329,31
759.4354,6
778.2077,24.11
817.3958,6
818.4207,4.784
854.4962,239.9
1047.5764,10.91
1138.6295,12.81
1165.6044,9.807
1167.6814,12.06
1453.6455,6.055
99.07,5.018
127.0889,9.305
129.102,7
130.0845,8.054
141.1022,9
147.114,11
157.1052,7.269
169.0992,18.56
171.13,5.018
183.1496,8.018
186.1235,89.02
211.1391,8
214.118,39.55
226.1004,5.018
229.121,9
230.0959,5
232.1248,5.566
244.1573,8.018
252.1214,7.548
254.1239,5.018
260.1961,8
261.1465,5.018
264.0884,5.018
267.0818,5.018
271.1228,23.56
272.166,2.809
280.1721,5
281.1012,6.556
283.1236,5.673
289.1328,8.018
294.0854,5.556
311.1551,8.538
340.1188,14.32
355.1688,8.018
357.2499,54.82
